,start_time,end_time,duration,start_datetime,Type,Type_M,Texture,event_tag,Applause_N,cue_start_time,cue_start_type,cue_time2start,cue_end_time,cue_end_type,cue_time2end,stage_next_time,stage_next_type,stage_next_time2,files,links,Links_time(s),Vid_times,Links_ctime(s)
0,-691.2,-674.1,17.100000000000023,2021-10-26 17:36:34.800,Entrance,Other,Independent,Entre 1,1,-692.2,Musicians enter hall,1.0,-677.2,Musician toward mic,3.1000000000000227,-673.1,Start to speak,-1.0,Applause_1_entre_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=1294,1294,0,-692
1,-555.9,-548.6,7.2999999999999545,2021-10-26 17:38:50.100,Speech,Other,Independent,Speech 1,2,-556.1,Last word V,0.20000000000004547,-551.9,MC at Mic,3.2999999999999545,-550.6,MC starts talking,2.0,Applause_2_speech_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=1430,1430,25,-556
2,30.6,40.1,9.5,2021-10-26 17:48:36.600,Speech,Other,Independent,Speech 2,3,31.0,Last word MC,-0.3999999999999986,38.0,Violinist pick up instrument,2.1000000000000014,38.0,Violinist pick up instrument,2.1000000000000014,Applause_3_speech_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=2018,2018,41,32
3,1610.6,1652.1,41.5,2021-10-26 18:14:56.600,Music,Music,Mixed,Beethoven,4,1609.6,Release instruments,1.0,1626.6,Start to leave stage,25.5,1642.2,MC starts talking,9.899999999999864,Applause_4_beethoven_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=3596,3596,57,1610
4,2004.8,2016.1,11.299999999999955,2021-10-26 18:21:30.800,Entrance,Other,Independent,Entre 2,5,2004.8,Musicians enter hall,0.0,2012.8,Begin to sit down,3.2999999999999545,2012.8,Begin to sit down,3.2999999999999545,Applause_5_entre_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=3990,3990,107,2004
5,3282.6,3342.7,60.09999999999991,2021-10-26 18:42:48.600,Music,Music,Mixed,Schnittke,6,3278.9,Release instruments,3.699999999999818,3336.6,Start to leave stage,6.099999999999909,3344.7,MC at mic,-2.0,Applause_6_schnittke_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=5251,5251,127,3265
6,5001.92,5019.5,17.579999999999927,2021-10-26 19:11:27.920,Entrance,Other,Independent,Entre 3,7,5001.92,Musicians enter hall,0.0,5014.92,Begin to sit down,4.579999999999927,5019.9,MC starts talking,-0.3999999999996362,Applause_7_entre_3_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=6990,6990,212,5004
7,6020.1,6042.1,22.0,2021-10-26 19:28:26.100,Music,Music,Independent,Bach,8,6017.2,Release instruments,2.9000000000005457,6037.1,MC towards mic,5.0,6041.1,MC starts talking,1.0,Applause_8_bach_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=7996,7996,237,6010
8,6759.1,6776.2,17.099999999999454,2021-10-26 19:40:45.100,Music,Music,Independent,Folk 1,9,6756.9,Last note,2.2000000000007276,6774.1,Violinist ready to play,2.0999999999994543,6776.7,Violinist plays,-0.5,Applause_9_folk_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=8741,8741,273,6755
9,6933.4,6952.6,19.200000000000728,2021-10-26 19:43:39.400,Music,Music,Independent,Folk 2,10,6931.9,Last note,1.5,6940.4,Violinist towards mic,12.200000000000728,6952.9,Violinist begins to speak,-0.2999999999992724,Applause_10_folk_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=8918,8918,303,6932
10,7170.3,7189.0,18.699999999999818,2021-10-26 19:47:36.300,Music,Music,Independent,Folk 3,11,7168.5,Last note,1.800000000000182,7182.3,Violinist towards mic,6.699999999999818,7190.1,Violinist begins to speak,-1.1000000000003638,Applause_11_folk_3_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9154,9154,329,7168
11,7537.4,7553.0,15.600000000000364,2021-10-26 19:53:43.400,Music,Music,Independent,Folk 4,12,7532.6,Release instruments,4.799999999999272,7549.4,Violinist toward mic,3.600000000000364,7553.8,Violinist begins to speak,-0.8000000000001819,Applause_12_folk_4_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9509,9509,355,7523
12,7748.7,7761.7,13.0,2021-10-26 19:57:14.700,Music,Music,Independent,Folk 5,13,7747.6,Release instruments,1.0999999999994543,7756.7,Violinist toward mic,5.0,7762.9,Violinist begins to speak,-1.199999999999818,Applause_13_folk_5_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9731,9731,390,7745
13,7771.3,7776.1,4.800000000000182,2021-10-26 19:57:37.300,Speech,Other,Independent,Speech 3,14,7770.5,Violinist Step away,0.8000000000001819,7775.5,MC starts talking,0.6000000000003638,7775.5,MC starts talking,0.6000000000003638,Applause_14_speech_3_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9753,9753,412,7767
14,8042.6,8149.5,106.89999999999964,2021-10-26 20:02:08.600,Music,Music,Synched,Finale,15,8041.3,Last note,1.300000000000182,8138.8,Start to leave stage,10.699999999999818,8144.8,Out of sight,4.699999999999818,Applause_15_finale_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=10026,10026,432,8040
