,Entrance,Speech,Music
duration,15.326666666666634,7.2000000000000455,34.89999999999999
Ratio clapping,0.7607843137254902,0.776470588235294,0.8758169934640523
Median number of Claps,30.0,15.833333333333334,82.33333333333333
STD number of Claps,9.637067650815569,4.559853083589525,22.155722667334416
Median L ICI P Median,0.3066666666666669,0.29666666666666663,0.31777777777777827
Median L ICI P STD,0.0731072920950712,0.09455759157619854,0.06636993992909138
STD L ICI P Median,0.05722470524323194,0.031077300597922946,0.04377210231595891
STD L ICI P STD,0.09444763197135098,0.06557946219308057,0.06123414254674028
Starting L ICI P Median,0.30666666666666637,0.29500000000000015,0.3072222222222221
Starting L ICI P STD,0.09552941937170877,0.09469775243089784,0.07282711613469321
Starting L ICI Quart P Mean,0.07334888538748845,0.037698388323388364,0.04814964522834644
5s ICI Median P Median,0.31333333333333346,0.29500000000000015,0.3066666666666666
5s ICI Median P STD,0.2708386662172153,0.11223840237403955,0.10960630368155337
5s ICI Quart P Median,0.06999999999999991,0.05250000000000026,0.037499999999999936
5s ICI Quart P STD,0.3311258697349755,0.1071799246222634,0.11199406393563738
5-10s ICI Median P Median,0.30666666666666687,0.31000000000000005,0.3122222222222224
5-10s ICI Median P STD,0.15991752819796287,0.1612822865870876,0.0938605490583935
5-10s ICI Quart P Median,0.05833333333333324,0.04000000000000026,0.0333333333333334
5-10s ICI Quart P STD,0.1887073874304898,0.18554052847453673,0.08768496963807958
First clap P Quart,5.513333333333333,2.6199999999999997,1.2044444444444444
Last clap P Quart,4.86,2.806666666666666,3.093333333333333
Counts,3.0,3.0,9.0
